PANDA -- facet enumeration with adjacency decomposition
Warning: validity of input vertices cannot be verified for reduced input.
Reduced Inequalities:
x0 +x4 +x8 +x12 +x16 +x20 +x24 +x28 -x30 -x38 -x46 -x54 -x62 -x70 -x78 <= 1
Processing #1 of at least 1 class
Fourier-Motzkin Elimination step 2036 / 8020096: 2731
Fourier-Motzkin Elimination step 3263 / 8020096: 3374
Fourier-Motzkin Elimination step 3272 / 8020096: 3040
Fourier-Motzkin Elimination step 3274 / 8020096: 3072
Fourier-Motzkin Elimination step 3276 / 8020096: 2858
Fourier-Motzkin Elimination step 3308 / 8020096: 2666
Fourier-Motzkin Elimination step 3317 / 8020096: 2807
Fourier-Motzkin Elimination step 3320 / 8020096: 2806
Fourier-Motzkin Elimination step 3322 / 8020096: 2706
Fourier-Motzkin Elimination step 3665 / 8020096: 3794
Fourier-Motzkin Elimination step 3667 / 8020096: 3869
Fourier-Motzkin Elimination step 3669 / 8020096: 3773
Fourier-Motzkin Elimination step 3671 / 8020096: 3810
Fourier-Motzkin Elimination step 3673 / 8020096: 3816
Fourier-Motzkin Elimination step 3674 / 8020096: 3816
Fourier-Motzkin Elimination step 3676 / 8020096: 3745
Fourier-Motzkin Elimination step 3677 / 8020096: 3941
Fourier-Motzkin Elimination step 3679 / 8020096: 4035
Fourier-Motzkin Elimination step 3685 / 8020096: 4319
Fourier-Motzkin Elimination step 3686 / 8020096: 4284
Fourier-Motzkin Elimination step 3687 / 8020096: 4237
Fourier-Motzkin Elimination step 3688 / 8020096: 4231
Fourier-Motzkin Elimination step 3689 / 8020096: 4430
Fourier-Motzkin Elimination step 3690 / 8020096: 3906
Fourier-Motzkin Elimination step 3691 / 8020096: 4016
Fourier-Motzkin Elimination step 3692 / 8020096: 4209
Fourier-Motzkin Elimination step 3693 / 8020096: 4464
Fourier-Motzkin Elimination step 3695 / 8020096: 4655
Fourier-Motzkin Elimination step 3696 / 8020096: 4591
Fourier-Motzkin Elimination step 3697 / 8020096: 4597
Fourier-Motzkin Elimination step 3698 / 8020096: 4555
Fourier-Motzkin Elimination step 3699 / 8020096: 4778
Fourier-Motzkin Elimination step 3700 / 8020096: 4787
Fourier-Motzkin Elimination step 3701 / 8020096: 4873
Fourier-Motzkin Elimination step 3702 / 8020096: 4908
Fourier-Motzkin Elimination step 3703 / 8020096: 4872
Fourier-Motzkin Elimination step 3704 / 8020096: 4912
Fourier-Motzkin Elimination step 3705 / 8020096: 5159
Fourier-Motzkin Elimination step 3706 / 8020096: 5221
Fourier-Motzkin Elimination step 3707 / 8020096: 5364
Fourier-Motzkin Elimination step 3708 / 8020096: 5403
Fourier-Motzkin Elimination step 3709 / 8020096: 5420
Fourier-Motzkin Elimination step 3710 / 8020096: 5557
Fourier-Motzkin Elimination step 3711 / 8020096: 5663
Fourier-Motzkin Elimination step 3712 / 8020096: 5697
Fourier-Motzkin Elimination step 3713 / 8020096: 5785
Fourier-Motzkin Elimination step 3714 / 8020096: 5750
Fourier-Motzkin Elimination step 3715 / 8020096: 5756
Fourier-Motzkin Elimination step 3716 / 8020096: 5849
Fourier-Motzkin Elimination step 3717 / 8020096: 6233
Fourier-Motzkin Elimination step 3718 / 8020096: 5584
Fourier-Motzkin Elimination step 3719 / 8020096: 5741
Fourier-Motzkin Elimination step 3720 / 8020096: 5898
Fourier-Motzkin Elimination step 3721 / 8020096: 5984
Fourier-Motzkin Elimination step 3722 / 8020096: 5855
Fourier-Motzkin Elimination step 3723 / 8020096: 5883
Fourier-Motzkin Elimination step 3724 / 8020096: 5610
