PANDA -- facet enumeration with adjacency decomposition
Warning: validity of input vertices cannot be verified for reduced input.
Reduced Inequalities:
x0 -x3 +x4 -x7 +x10 -x11 +x14 -x15 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x50 +x52 -x58 +x60 -x64 +x68 -x72 +x76 <= 1
Processing #1 of at least 1 class
x0 -x3 +x4 -x7 +x8 +x12 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x46 -x54 -x64 +x68 -x72 +x76 <= 1
Processing #2 of at least 2 classes
Fourier-Motzkin Elimination step 1498 / 3450112: 3381
Fourier-Motzkin Elimination step 1578 / 3450112: 4274
Fourier-Motzkin Elimination step 3601 / 2304896: 4296
Fourier-Motzkin Elimination step 3628 / 2304896: 3724
Fourier-Motzkin Elimination step 3629 / 2304896: 2361
Fourier-Motzkin Elimination step 3768 / 2304896: 5768
Fourier-Motzkin Elimination step 3770 / 2304896: 5669
Fourier-Motzkin Elimination step 3966 / 2304896: 5286
Fourier-Motzkin Elimination step 3975 / 2304896: 6973
Fourier-Motzkin Elimination step 3976 / 2304896: 7068
Fourier-Motzkin Elimination step 3977 / 2304896: 7160
Fourier-Motzkin Elimination step 3978 / 2304896: 7252
Fourier-Motzkin Elimination step 3979 / 2304896: 7343
Fourier-Motzkin Elimination step 3980 / 2304896: 7265
Fourier-Motzkin Elimination step 3981 / 2304896: 7334
Fourier-Motzkin Elimination step 3982 / 2304896: 7264
Fourier-Motzkin Elimination step 3983 / 2304896: 7202
Fourier-Motzkin Elimination step 3986 / 2304896: 7082
Fourier-Motzkin Elimination step 3987 / 2304896: 7094
Fourier-Motzkin Elimination step 3989 / 2304896: 7093
Fourier-Motzkin Elimination step 3990 / 2304896: 7073
Fourier-Motzkin Elimination step 3991 / 2304896: 7073
Fourier-Motzkin Elimination step 3992 / 2304896: 7051
Fourier-Motzkin Elimination step 3993 / 2304896: 7200
Fourier-Motzkin Elimination step 3994 / 2304896: 6906
Fourier-Motzkin Elimination step 3996 / 2304896: 7091
Fourier-Motzkin Elimination step 3997 / 2304896: 7305
Fourier-Motzkin Elimination step 3998 / 2304896: 7270
Fourier-Motzkin Elimination step 3999 / 2304896: 7333
Fourier-Motzkin Elimination step 4000 / 2304896: 7265
Fourier-Motzkin Elimination step 4001 / 2304896: 7309
Fourier-Motzkin Elimination step 4002 / 2304896: 7335
Fourier-Motzkin Elimination step 4003 / 2304896: 7459
Fourier-Motzkin Elimination step 4004 / 2304896: 7449
Fourier-Motzkin Elimination step 4005 / 2304896: 7553
Fourier-Motzkin Elimination step 4006 / 2304896: 7628
Fourier-Motzkin Elimination step 4007 / 2304896: 7661
Fourier-Motzkin Elimination step 4008 / 2304896: 7766
Fourier-Motzkin Elimination step 4009 / 2304896: 7986
Fourier-Motzkin Elimination step 4010 / 2304896: 7754
Fourier-Motzkin Elimination step 4011 / 2304896: 7691
Fourier-Motzkin Elimination step 4012 / 2304896: 7654
Fourier-Motzkin Elimination step 4013 / 2304896: 7747
Fourier-Motzkin Elimination step 4014 / 2304896: 7571
Fourier-Motzkin Elimination step 4015 / 2304896: 7486
Fourier-Motzkin Elimination step 4016 / 2304896: 7401
Fourier-Motzkin Elimination step 4017 / 2304896: 7414
Fourier-Motzkin Elimination step 4018 / 2304896: 7427
Fourier-Motzkin Elimination step 4019 / 2304896: 7289
Fourier-Motzkin Elimination step 4020 / 2304896: 7280
Fourier-Motzkin Elimination step 4021 / 2304896: 7387
Fourier-Motzkin Elimination step 4022 / 2304896: 7094
